#ProfileFileVersion=2.6
#ProfilerVersion=2.6.2153
#Application=/home/lifxu/Desktop/github/PIM/SPGK/spk.exe
#ApplicationArgs=-directory /home/lifxu/Desktop/github/personal/graph_gen/output -platform 1 -gk 0 -option 5 -vertex 0 -gauss 0.1
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Vendor=Advanced Micro Devices, Inc.
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Name=AMD Accelerated Parallel Processing
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLDriver Version=1124.2 (sse2,avx,fma4)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   NumberAppAddressBits=64
#Device Tahiti Platform Vendor=Advanced Micro Devices, Inc.
#Device Tahiti Platform Name=AMD Accelerated Parallel Processing
#Device Tahiti Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti CLDriver Version=1124.2 (VM)
#Device Tahiti CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti NumberAppAddressBits=32
#OS Version=CentOS release 6.4 (Final)
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, CallIndex, GlobalWorkSize, WorkGroupSize, Time, LocalMemSize, VGPRs, SGPRs, ScratchRegs, FCStacks, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, LDSInsts, VALUUtilization, VALUBusy, SALUBusy, FetchSize, CacheHit, MemUnitBusy, MemUnitStalled, WriteUnitStalled, LDSBankConflict, WriteSize, GDSInsts
vertex_gauss_multiplim_3__k1_Tahiti1, 76, 2529, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.03,         0.24,         4.31,        70.96,         2.68,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 77, 2530, 0, {   1280       1       1}, {  128     1     1},         2.33941, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.50,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 78, 2531, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        30.71,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 79, 2532, 0, {     64      64       1}, {   16    16     1},         0.01259, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.01,         0.23,         4.31,        70.27,         2.79,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 80, 2533, 0, {   1280       1       1}, {  128     1     1},         2.34622, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.32,         0.82,      8392.56,        56.43,        16.78,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 81, 2534, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        27.39,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 82, 2535, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.04,         0.24,         4.31,        70.94,         2.82,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 83, 2536, 0, {   1280       1       1}, {  128     1     1},         2.34178, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.86,        78.94,        99.12,        16.25,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 84, 2537, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        19.71,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 85, 2538, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.04,         0.24,         4.31,        71.17,         2.70,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 86, 2539, 0, {   1280       1       1}, {  128     1     1},         2.35037, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.34,         0.82,      8386.94,        56.37,        16.78,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 87, 2540, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 88, 2541, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.03,         0.24,         4.31,        70.89,         2.75,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 89, 2542, 0, {   1280       1       1}, {  128     1     1},         2.34030, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.55,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 90, 2543, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        30.71,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 91, 2544, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.09,         0.24,         4.31,        70.20,         2.78,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 92, 2545, 0, {   1280       1       1}, {  128     1     1},         2.34978, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.86,        78.81,        99.12,        16.12,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 93, 2546, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        27.39,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 94, 2547, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.14,         0.24,         4.31,        70.87,         2.88,         0.20,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 95, 2548, 0, {   1280       1       1}, {  128     1     1},         2.34252, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.86,        78.94,        99.12,        16.34,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 96, 2549, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.17,         0.38,        10.31,        19.71,         0.43,         0.01,         0.00,         0.01,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 97, 2550, 0, {     64      64       1}, {   16    16     1},         0.01304, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         1.93,         0.15,         4.31,        71.22,         1.71,         0.12,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 98, 2551, 0, {   1280       1       1}, {  128     1     1},         2.35363, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.36,         0.83,      8389.75,        56.36,        16.98,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 99, 2552, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 100, 2553, 0, {     64      64       1}, {   16    16     1},         0.01274, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.02,         0.23,         4.31,        70.94,         2.67,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 101, 2554, 0, {   1280       1       1}, {  128     1     1},         2.33793, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.85,        78.94,        99.12,        16.42,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 102, 2555, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        30.71,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 103, 2556, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.03,         0.24,         4.31,        70.25,         2.74,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 104, 2557, 0, {   1280       1       1}, {  128     1     1},         2.34622, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.33,         0.82,      8390.00,        56.37,        16.91,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 105, 2558, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        27.39,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 106, 2559, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         1.95,         0.15,         4.31,        70.94,         1.77,         0.12,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 107, 2560, 0, {   1280       1       1}, {  128     1     1},         2.34207, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.86,        78.94,        99.12,        16.34,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 108, 2561, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        19.71,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 109, 2562, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         1.93,         0.15,         4.31,        71.26,         1.71,         0.12,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 110, 2563, 0, {   1280       1       1}, {  128     1     1},         2.34948, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.85,        78.81,        99.12,        16.11,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 111, 2564, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 112, 2565, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         2.45,         0.19,         4.31,        71.00,         2.24,         0.15,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 113, 2566, 0, {   1280       1       1}, {  128     1     1},         2.34044, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.51,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 114, 2567, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.70,        10.31,        30.71,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 115, 2568, 0, {     64      64       1}, {   16    16     1},         0.01274, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.03,         0.24,         4.31,        70.27,         2.74,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 116, 2569, 0, {   1280       1       1}, {  128     1     1},         2.34993, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.33,         0.82,      8389.25,        56.33,        16.77,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 117, 2570, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        27.39,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 118, 2571, 0, {     64      64       1}, {   16    16     1},         0.01244, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.05,         0.24,         4.31,        70.94,         2.83,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 119, 2572, 0, {   1280       1       1}, {  128     1     1},         2.34267, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.85,        78.94,        99.12,        16.34,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 120, 2573, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        19.71,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 121, 2574, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.04,         0.24,         4.31,        71.20,         2.71,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 122, 2575, 0, {   1280       1       1}, {  128     1     1},         2.35333, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.33,         0.82,      8385.56,        56.39,        16.75,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 123, 2576, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 124, 2577, 0, {     64      64       1}, {   16    16     1},         0.01274, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.05,         0.24,         4.31,        70.91,         2.74,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 125, 2578, 0, {   1280       1       1}, {  128     1     1},         2.33792, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.44,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 126, 2580, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        30.71,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 127, 2581, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.06,         0.24,         4.31,        70.25,         2.87,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 128, 2582, 0, {   1280       1       1}, {  128     1     1},         2.34667, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.32,         0.82,      8388.88,        56.36,        16.81,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 129, 2583, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.70,        10.31,        27.39,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 130, 2584, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.04,         0.24,         4.31,        69.95,         2.75,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 131, 2585, 0, {   1280       1       1}, {  128     1     1},         2.33926, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.31,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 132, 2586, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 133, 2587, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         1.92,         0.15,         4.31,        71.26,         1.71,         0.12,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 134, 2588, 0, {   1280       1       1}, {  128     1     1},         2.36622, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.85,        78.81,        99.12,        16.10,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 135, 2589, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        19.71,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 136, 2590, 0, {     64      64       1}, {   16    16     1},         0.01274, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.00,         0.23,         4.31,        71.41,         2.68,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 137, 2591, 0, {   1280       1       1}, {  128     1     1},         2.34133, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.43,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 138, 2592, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.70,        10.31,        23.74,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 139, 2593, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.05,         0.24,         4.31,        70.83,         2.72,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 140, 2594, 0, {   1280       1       1}, {  128     1     1},         2.34830, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.86,        78.81,        99.12,        16.17,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 141, 2595, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        33.73,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 142, 2596, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.06,         0.24,         4.31,        70.02,         2.73,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 143, 2597, 0, {   1280       1       1}, {  128     1     1},         2.34355, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.86,        78.94,        99.12,        16.35,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 144, 2598, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 145, 2599, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.02,         0.23,         4.31,        71.17,         2.69,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 146, 2600, 0, {   1280       1       1}, {  128     1     1},         2.43407, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.42,         0.85,        78.81,        99.12,        16.03,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 147, 2601, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        19.71,         0.78,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 148, 2604, 0, {     64      64       1}, {   16    16     1},         0.01274, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.10,         0.24,         4.31,        71.32,         2.73,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 149, 2605, 0, {   1280       1       1}, {  128     1     1},         2.44281, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.49,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 150, 2606, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        23.74,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 151, 2607, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         3.02,         0.24,         4.31,        70.76,         2.69,         0.19,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 152, 2608, 0, {   1280       1       1}, {  128     1     1},         2.43230, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.41,         0.85,        78.81,        99.12,        15.37,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 153, 2609, 0, {   1280       1       1}, {  128     1     1},         0.00919, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.17,         0.38,        10.31,        33.73,         0.43,         0.01,         0.00,         0.01,         0.00,         0.00
vertex_gauss_multiplim_3__k1_Tahiti1, 154, 2610, 0, {     64      64       1}, {   16    16     1},         0.01289, 0, 18, 28, 0, NA,        64.00,       106.69,         8.06,         4.88,        13.25,         0.81,         0.00,        77.75,         1.93,         0.15,         4.31,        69.95,         1.71,         0.12,         0.00,         0.00,         0.00,         0.00
edge_kernel_multipim_3__k2_Tahiti1, 155, 2611, 0, {   1280       1       1}, {  128     1     1},         2.33511, 0, 17, 52, 0, NA,        20.00,     53924.00,     14705.00,     12255.00,        25.00,         1.00,         0.00,        95.70,         2.43,         0.86,        78.94,        99.12,        16.30,         0.00,         0.00,         0.00,         0.00,         0.00
reduce__k3_Tahiti1, 156, 2613, 0, {   1280       1       1}, {  128     1     1},         0.00933, 1024, 8, 16, 0, NA,        20.00,        43.50,        52.50,         1.00,         8.50,         0.50,        24.00,        53.14,         0.31,         0.69,        10.31,        27.39,         0.79,         0.02,         0.00,         0.02,         0.00,         0.00
